name
Abraham Lincoln
Acadian
Acela Express
Adirondack
Admiral
Advance Commodore Vanderbilt
Advance Empire State Express
Advance Gilt Edge
Advance Knickerbocker
Advance Midnight Special
Advance Wolverine
Advanced Denver Zephyr
Adventureland
Afternoon Hiawatha
Afternoon Puget Sounder
Afternoon Steeler
Afternoon Twin Cities Zephyr
Aiken-Augusta Special
Airway Limited
Ak-Sar-Ben Zephyr
Akronite
Alamo
Alamo Special
Alaskan
Albany Mail
Alburgh Express
Alexandrian
Allegheny
Alouette
Alton Limited
Ambassador
American
American Royal Zephyr
Angel
Angelo
Ann Rutledge
Antelope
Argonaut
Aristocrat
Arizona Limited
Arlington
Aroostook Flyer
Arrow
Arrowhead Limited
Arundel
Asa Packer
Asheville Special
Ashland Limited
Ashland Mail
Atlanta Limited
Atlantic City Express
Atlantic Express
Atlantic Highlands Express
Atlantic Limited
Aurora Winter Train
Auto Train
Azalean
Aztec EagleÂ (Aguila Azteca)
Badger Express
Bankers
Banner Blue
Bar Harbor
Bar Harbor Express
Bay Shore Special
Bay State
Beach Special
Beachcomber
Beaver
Beeliner
Berkshire
Bicentennial
Birmingham Special
Black Diamond
Black Gold
Black Hawk
Blue Arrow
Blue Bird
Blue Comet
Blue Dart
Blue Ridge
Blue Ridge Limited
Blue Water
Bluebonnet
Bluegrass
Boardwalk Flyer
Bon-Air Special
Booth Tarkington
Border Limited
Boston Express
Boston â€“ New York Express
Bostonian
Broadway Limited
Buckeye
Buffalo â€“ Pittsburgh Express
Buffalo â€“ Toronto Express
Buffalo and Chicago Express
Buffalo Day Express
Buffalo Local
Bullet
Business Man's Special
Butte Special
Cabana
California Limited
California Special
California Zephyr
Californian
Camellia
Campus
Canadian
Canadian Niagara
Cannon Ball
Capital
Cape Codder
Capital City Special
Capitol 400
Capitol Corridor
Capitol Limited
Cardinal
Carolina Golfer
Carolina Special
Carolinian
Cascade
Cascades
Cascadian
Cavalier
Cayuga
Centennial State
Central States Limited
Challenger
Champion
Cherokee
Chesapeake
Cheshire
Chicago â€“ Des Moines Rocket
Chicago Arrow
Chicago Daylight Express
Chicago Express
Chicago Limited
Chicago Mail
Chicago Night Express
Chicago Northwestern Limited
Chicago Special
Chicagoan
Chief
Chippewa
Choctaw Rocket
Choctaw Rockette
Cigar Valley
Cincinnati Limited
Cincinnati Mercury
Cincinnatian
City of Cleveland
City of Chicago
City of Decatur
City of Denver
City of Kansas City
City of Las Vegas
City of Los Angeles
City of Memphis
City of Mexico
City of Miami
City of Milwaukee 400
City of New Orleans
City of Portland
City of Salina
City of San Francisco
City of St. Louis
Clamdigger
Cleveland â€“ Chicago Express
Cleveland â€“ Cincinnati Night Special
Cleveland â€“ Cincinnati Special
Cleveland â€“ St. Louis Special
Cleveland Express
Cleveland Limited
Cleveland Mail
Cleveland Mercury
Cleveland Night Express
Cleveland Special
Clevelander
Coast Daylight
Coast Line Florida Mail
Coast Starlight
Coastal Classic
Coaster
Colonial
Colorado Eagle
Colorado Express
Coloradoan
Columbia River Express
Columbian
Comet
Commander
Commercial Traveler
Commodore Vanderbilt
Commuter 400
Congressional
Connecticut Yankee
Continental Limited
Copper Country Limited
Corn Belt Limited
Corn Belt Rocket
Corn King
Cotton Belter
Cotton States Special
Creole
Crescent
Cross Florida Night Limited
Crusader
Cumberland
Curfew
Dakota 400
Dakotan
Dan'l Webster
Day Express
Day White Mountains
Daylight Limited
De Luxe
Del Monte
Delta Eagle
Delta Express
Denali Star
Denver Zephyr
Des Moines Limited
Des Moines Rocket
Des Moines-Omaha Limited
Desert Wind
Detroit & New York Express
Detroit Arrow
Detroiter
Detroit Express
Detroit â€“ Grand Rapids â€“ Kalamazoo Express
Detroit Limited
Detroit Night Express
Detroit Special
DeWitt Clinton
Diplomat
Dixiana
Dixie Express
Dixie Flagler
Dixie Flyer
Dixieland
Dominion Express
Downeaster
Duluth & Boston Express
Duluth-Superior Limited
Duquesne
East Coast Flyer
East Wind
Easterner
Edison
Egyptian Zipper
El Capitan
Electroliner
Embassy
Empire Builder
Empire State Express
Erie Limited
Erie-Lackawanna Limited
Ethan Allen Express
Everglades
Exposition Flyer
Fast Flying Virginian
Fast Mail
Federal Express
Fifth Avenue Special
Fireball
Firefly
Fisherman's Special
Flambeau 400
Flamingo
Florida Arrow
Florida Special
Floridian
Flying Crow
Flying Yankee
Forest City
Fort Crevecouer
Fort Dearborn
Fort Pitt
Forty-Niner
FrontRunner
Furniture City Special
Gateway
General Pershing Zephyr
General
General Wood
Genesee
George Washington
Georgian
Glacier Discovery
Gold Coast
Golden Arrow
Golden Gate
Golden Gate Special
Golden Rocket
Golden State
Golden State Limited
Golden Triangle
Gopher
Gotham Limited
Governor's Special
Grand Canyon
Grand Rapids and Chicago Night Express
Great Lakes Aerotrain
Great Valley Flyer
Great Western Limited
Green Diamond
Green Mountain Flyer
Gulf Breeze
Gulf Coast Limited
Gulf Coast Rebel
Gulf Coast Special
Gulf Wind
The Gull
Harrisburger
Havana Special
Hawkeye
Heartland Flyer
Hendrick Hudson
Henry Hudson
Henry M. Flagler
Hiawatha
Hoosier
Hoosier Limited
Hoosier State
Hopi
Hot Springs Limited
Hot Springs-Panama Limited
Hot Springs Special
Houstonian
Hummer
Humming Bird
Huron Shore Express
Hurricane Turn
Hustler
Illini
Illinois Zephyr
Indianapolis Express
Inter-American
Inter-City Limited
International Limited
International
Interstate Express
Iowan
Iron & Copper Country Express
Iroquois
Irvin S. Cobb
James Whitcomb Riley
Jeffersonian
Jet Rocket
John Quincy Adams
John Wilkes
Juniata
Kansas City-Florida Special
Kansas City - Hot Springs Express
Kansas City Mule
Kansas City Zephyr
Kansas Cityan
Kate Shelley 400
Katy Flyer
Katy Limited
Kay-See Flyer
Kentucky Cardinal
Keystone Service
Keystone
King Coal
Knickerbocker
The La Salle
La Salle
Lake Cities
Lake Cities Special
Lake Country Limited
Lake Shore
Lake Shore Limited
Lake Superior Limited
The Laker
Land O'Corn
Lark
LaSalle
Las Vegas Limited
Laurentian
Legionnaire
Lehigh Express
Legislator
Liberty Bell
Liberty Express
Liberty Limited
Lincoln Service
Lone Star
Loop
Louisiana Eagle
Louisiana Daylight
Louisiana Limited
Louisiana Sunshine Special
Mail Express
Mainstreeter
Man O' War
Manhattan Limited
Manitoba Express
Maple Leaf
Marathon
Mark Twain Zephyr
Marquette
Mayflower
Marylander
